telegram_id;username;full_name;count_sent_predictions;work_or_stop;last_use_bot;all_uses;count_touch_help;count_touch_next_prediction;count_touch_start;predictions
5005201756;;;5;-;2022-11-04  19:44:53;['2022-11-04  17:51:35', '2022-11-04  19:44:53'];0;0;0;['В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'Хватит превращаться в бабу, стань бабой, военкомат близко', 'Сегодня не стоит... и завтра не стоит - ты импотент']
936114484;;;5;-;2022-11-04  19:44:54;['2022-11-04  17:51:35', '2022-11-04  19:44:54'];0;0;0;['Остерегайся в ближайшие дни числа 123, иначе ровно столько-же негров тебя ........', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца']
743196741;;;5;-;2022-11-04  19:44:54;['2022-11-04  17:51:35', '2022-11-04  19:44:54'];0;0;0;['С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Остерегайся в ближайшие дни числа 123, иначе ровно столько-же негров тебя ........', 'Вас ожидает секс с вашей мамой', 'Застёгивай молнию на джинсах аккуратно, есть большая вероятность защемить член молнией.']
1017167578;;;6;-;2022-11-04  19:44:54;['2022-11-04  17:51:35', '2022-11-04  19:44:54'];0;0;0;['Остерегайся в ближайшие дни числа 123, иначе ровно столько-же негров тебя ........', 'Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Скоро ты отправишься в деревню к коровам и быкам. Когда будешь их доить, постарайся не перепутать быка с коровой, иначе придётся пить молоко.']
835242675;;;6;-;2022-11-04  19:44:54;['2022-11-04  17:51:35', '2022-11-04  19:44:54'];0;0;0;['Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Сиська упадёт в унитаз и застрянет', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'Скоро ты отправишься в деревню к коровам и быкам. Когда будешь их доить, постарайся не перепутать быка с коровой, иначе придётся пить молоко.', 'Звёзды говорят, что в скором времени у вас будет рак... и пиво']
1136997058;;;6;-;2022-11-04  19:44:54;['2022-11-04  17:51:35', '2022-11-04  19:44:54'];0;0;0;['Сиська упадёт в унитаз и застрянет', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Вас ожидает секс с вашей мамой', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Откажись от наркотиков на неделю, хотя... зачем отказываться от хорошего?']
1488371377;;;6;-;2022-11-04  19:44:55;['2022-11-04  17:51:36', '2022-11-04  19:44:55'];0;0;0;['В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Хватит превращаться в бабу, стань бабой, военкомат близко', 'Если тебе тяжело идти, значит ты жирный.', 'С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку']
1074395586;;;6;-;2022-11-04  19:44:55;['2022-11-04  17:51:36', '2022-11-04  19:44:55'];0;0;0;['С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Сиська упадёт в унитаз и застрянет', 'Если тебе тяжело идти, значит ты жирный.', 'Вас ожидает секс с вашей мамой', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.']
920041825;;;5;-;2022-11-04  19:44:56;['2022-11-04  17:51:37', '2022-11-04  19:44:56'];0;0;0;['Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Звёзды говорят, что в скором времени у вас будет рак... и пиво', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.']
1030077990;;;6;-;2022-11-04  19:44:56;['2022-11-04  17:51:37', '2022-11-04  19:44:56'];0;0;0;['Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Сиська упадёт в унитаз и застрянет', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'Скоро ты отправишься в деревню к коровам и быкам. Когда будешь их доить, постарайся не перепутать быка с коровой, иначе придётся пить молоко.', 'Застёгивай молнию на джинсах аккуратно, есть большая вероятность защемить член молнией.']
1583318698;;;5;-;2022-11-04  19:44:56;['2022-11-04  17:51:37', '2022-11-04  19:44:56'];0;0;0;['Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'Сегодня не стоит... и завтра не стоит - ты импотент', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Звёзды говорят, что в скором времени у вас будет рак... и пиво', 'Скоро ты отправишься в деревню к коровам и быкам. Когда будешь их доить, постарайся не перепутать быка с коровой, иначе придётся пить молоко.']
5250657911;;;5;-;2022-11-04  19:44:56;['2022-11-04  17:51:37', '2022-11-04  19:44:56'];0;0;0;['Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Звёзды говорят, что в скором времени у вас будет рак... и пиво', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.']
5736071280;;;5;-;2022-11-04  19:44:57;['2022-11-04  17:51:37', '2022-11-04  19:44:57'];0;0;0;['Сиська упадёт в унитаз и застрянет', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Если тебе тяжело идти, значит ты жирный.', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'Остерегайся в ближайшие дни числа 123, иначе ровно столько-же негров тебя ........']
2011407401;;;5;-;2022-11-04  19:44:57;['2022-11-04  17:51:38', '2022-11-04  19:44:57'];0;0;0;['Хватит превращаться в бабу, стань бабой, военкомат близко', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.', 'Звёзды говорят, что в скором времени у вас будет рак... и пиво', 'Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'Ни в коем случае не ешь в ближайшие пять дней кошачий корм! Ну а если ты дол6ае6, то можешь есть']
845776936;;;4;-;2022-11-04  19:44:57;['2022-11-04  17:51:38', '2022-11-04  19:44:57'];0;0;0;['Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Застёгивай молнию на джинсах аккуратно, есть большая вероятность защемить член молнией.']
981887598;;;4;-;2022-11-04  19:44:57;['2022-11-04  17:51:38', '2022-11-04  19:44:57'];0;0;0;['Сиська упадёт в унитаз и застрянет', 'Вас ожидает секс с вашей мамой', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Откажись от наркотиков на неделю, хотя... зачем отказываться от хорошего?']
2015322755;;;5;-;2022-11-04  19:44:57;['2022-11-04  17:51:39', '2022-11-04  19:44:57'];0;0;0;['Если тебе тяжело идти, значит ты жирный.', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы']
1171124398;;;6;-;2022-11-04  19:44:58;['2022-11-04  17:51:39', '2022-11-04  19:44:58'];0;0;0;['С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе', 'Если тебе тяжело идти, значит ты жирный.', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.']
1206416757;;;5;-;2022-11-04  19:44:58;['2022-11-04  17:51:39', '2022-11-04  19:44:58'];0;0;0;['Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку', 'Хватит превращаться в бабу, стань бабой, военкомат близко', 'Если тебе тяжело идти, значит ты жирный.', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.']
1010177413;;;3;-;2022-11-04  19:44:58;['2022-11-04  17:51:40', '2022-11-04  19:44:58'];0;0;0;['В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца']
1030139442;;;5;-;2022-11-04  19:44:59;['2022-11-04  17:51:40', '2022-11-04  19:44:59'];0;0;0;['Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Хватит превращаться в бабу, стань бабой, военкомат близко', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы']
1444841055;;;5;-;2022-11-04  19:44:59;['2022-11-04  17:51:41', '2022-11-04  19:44:59'];0;0;0;['Сиська упадёт в унитаз и застрянет', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'Сегодня не стоит... и завтра не стоит - ты импотент', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.']
5328822358;;;6;-;2022-11-04  19:44:59;['2022-11-04  17:51:41', '2022-11-04  19:44:59'];0;0;0;['С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.', 'Звёзды говорят, что в скором времени у вас будет рак... и пиво', 'Сиська упадёт в унитаз и застрянет', 'Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'Остерегайся в ближайшие дни числа 123, иначе ровно столько-же негров тебя ........']
5342886450;;;6;-;2022-11-04  19:44:59;['2022-11-04  17:51:42', '2022-11-04  19:44:59'];0;0;0;['Звёзды говорят, что в скором времени у вас будет рак... и пиво', 'Сегодня не стоит... и завтра не стоит - ты импотент', 'Если тебе тяжело идти, значит ты жирный.', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'Откажись от наркотиков на неделю, хотя... зачем отказываться от хорошего?']
643804464;;;5;-;2022-11-04  19:44:59;['2022-11-04  17:51:42', '2022-11-04  19:44:59'];0;0;0;['Хватит превращаться в бабу, стань бабой, военкомат близко', 'Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку', 'Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы']
